,NA,EP,WP,SI,SP
1980,,,,,
1981,,,,,
1982,3709.7235310321153,3839.4330331535616,4275.968506332711,4755.576383072521,5267.3621579367555
1983,3987.320458097114,3777.161770307839,4520.944363934618,4507.649519476583,5015.547992568302
1984,3918.471204036635,4200.272066294408,5599.7269726534505,4660.300798097782,5142.528780575171
1985,4172.091034266717,4301.348456932422,4759.310469938407,4985.771527201676,5590.65327032214
1986,3860.694806302023,4043.3936288055725,5218.69168833732,4667.852986168526,5898.607459556902
1987,4019.697123393866,3992.0319151512795,5101.224067719041,4473.948890719624,4666.440251212972
1988,3982.8885097491225,3938.0768207557303,4424.300803454045,4061.4258085922816,4244.5377231959765
1989,4290.068531003483,4436.870417153031,4476.515870315722,5461.3990424387075,5291.128504894802
1990,4205.314227578725,3860.9309278875044,4238.702855579447,4939.832272491271,5332.456498949258
1991,3759.7503816669505,4227.111386508327,4454.389940173491,4621.30492180761,4517.528213533523
1992,4247.371083374237,3964.533009910177,4912.403517133868,5019.07747198308,5156.906117383556
1993,3847.2153378764638,4599.140315404805,4542.750888279195,4724.0479347088585,5870.116063636494
1994,3917.4038659986168,4494.61420192683,5113.420440840012,4677.089622535119,5007.322202517974
1995,4468.487928766713,4117.675653361598,4967.93932709766,4592.719426255146,4779.776786918614
1996,4156.108579706543,4656.33356777245,5230.686492124139,5379.777512744302,6107.617949747862
1997,4426.614389468183,4818.3799081666,5367.7247027212425,5568.742424747795,5496.3277716620805
1998,4948.720165719548,4138.561669174605,4679.779351002246,5359.111505525251,5211.272063052331
1999,4905.637705415984,4551.565701455965,5855.279424877931,5155.691828344344,5822.792562456968
2000,4581.631415688938,4418.7383623615715,5295.936762492454,5819.945041147405,6119.879461828187
2001,4602.732216982817,5042.368908395238,5779.042199144468,5476.722302774905,6357.018060627035
2002,4644.028972670331,5048.604998050248,5542.64550404502,6107.619654679383,5871.35242792916
2003,4579.056897810932,4783.176031167075,4899.88044350668,5054.485516893141,6176.911145295207
2004,5062.433195268571,4542.735303485394,5092.815975312522,4936.5771785808665,5799.91324622566
2005,5095.587191701711,4486.941391824683,5498.496274902106,5264.984727102575,5465.828770123921
2006,4395.736025494933,4612.767964674929,5274.316725556704,5476.024283155911,6718.720465058039
2007,4551.6921907815695,4926.1896368017615,5549.632199260369,5053.726727973983,5610.679236445671
2008,4579.350257930973,4812.4873510161815,5953.033295841099,5377.049288123092,6203.9505540149175
2009,4363.737612565916,5380.012207234292,5743.54801915165,5526.312511460465,6922.720235164195
2010,5018.592576721547,4335.412377013269,5890.710995741909,5424.504586349416,5451.37924907841
2011,4653.558830121739,4254.04848790236,5706.0419733530925,5640.291515311525,6564.908585513628
2012,4665.24646453581,4924.734500377848,6027.0052177930165,5532.515664887832,6241.180964444754
2013,4477.615470763769,4651.5007341264745,6037.858365158209,5192.03545258477,6120.833022043483
2014,4449.573064275335,5263.334158535198,6195.157644929896,5436.389350954846,6468.873972045833
2015,4149.7252486826965,5045.411385851187,5825.56530312607,5529.8386599289115,6249.738210565295
2016,4608.911547772972,5252.2410788057,5625.877118915818,5629.58487414862,5606.483300174333
2017,4519.067371684793,4742.318233604285,6038.22772896274,5917.352748136875,6082.558719086194
2018,4381.991383354773,4547.369496913595,6071.290667586611,5717.772378964217,6594.079812020256
2019,4516.813308153857,4831.543627848267,5843.4507726032025,5405.432870201535,5948.353603751985
2020,4591.841371453163,4680.698432304358,5882.750009280261,5553.097357401016,6401.471243190249
2021,4453.2653858656995,4903.362756150623,5912.221399914211,5631.313108453148,6445.171222461415
2022,4519.37435141744,4270.463301466217,5706.253831918835,5193.680806226038,6564.8252725449975
2023,4816.793754526095,4405.837681342679,5735.783819074596,5205.438846107734,7140.183659894021
