,NA,EP,WP,SI,SP
1980,,,,,
1981,,,,,
1982,15597.481597705144,14611.81288934366,12469.005370616405,14228.299914648256,14976.682909006733
1983,15956.09038811427,13464.883139994303,14048.470783252385,15468.872111130953,15131.138463068184
1984,14823.978844630583,13443.716727304223,13349.558737825655,14757.500867837372,16013.358763750712
1985,14925.864276058423,13208.310556858616,13035.924793874172,15548.565627461034,14279.89059448003
1986,14555.186786715774,13904.950167340832,11364.801016170899,13223.765076258438,14429.6288566727
1987,15201.818281695896,14030.243482264343,12264.70707025174,14884.225920659983,13076.600206452718
1988,14992.664988496668,12777.0003380626,14839.068183824113,16255.438876638354,14416.44971359279
1989,15678.826396540027,13176.052264025222,12770.919887745991,14271.607813428716,15434.857595661528
1990,15955.175576282794,12952.298033600411,12061.187476043171,13351.372931606855,12933.662730740298
1991,16324.907815592842,13998.102567045682,12031.450783935941,15410.865700101589,14948.531073648428
1992,15783.803280287015,14464.275925058962,13439.469260945234,16477.09517674249,14823.69050707821
1993,15588.821209331601,13557.989815561807,12666.052640756172,15758.646025795564,14575.341648840034
1994,15156.894960317833,13892.618808450336,12273.047480024592,14270.212312422665,15868.626258565715
1995,16172.667273762747,13447.797936325369,15379.834534989202,15273.277212823014,16576.506670327843
1996,14931.549729849696,13741.835997221182,13720.955082517528,15449.223630741508,15450.151573308245
1997,15929.75634299903,15124.48838787659,13311.946189851691,15478.945911690376,15488.689452602322
1998,16456.30501234331,12250.287566965279,14150.792592309299,16744.68304361168,16037.25808470828
1999,16804.275354766276,13729.076253256071,14772.704348534566,17560.010071594825,18086.791547267792
2000,17763.447099510875,14269.302493449497,13455.304898502802,15987.063780803543,18069.774411218266
2001,15682.770451034678,15169.254955655582,14240.107269123835,15960.306337071881,18519.744325641615
2002,16932.729743586307,15165.410216926823,13294.553228778626,16551.128016033803,18357.09610323667
2003,17445.80755283823,14949.592305019347,14344.43248293962,16673.78221702513,18451.155998255155
2004,18170.949401820766,14136.243499100046,13528.634223999501,17871.215188855072,16011.393416765039
2005,16736.959082784997,13841.169236524504,15846.891730751197,17375.595445414947,17324.7950130868
2006,16634.240255582277,13537.09519333774,13556.328164432442,16490.187957340022,18185.783106515886
2007,17572.877999619457,13725.953539678889,15837.246195064721,16441.770893753768,17766.97060189367
2008,16765.281005298093,13859.320050389804,16250.202331905926,17034.953674415294,19766.70354050108
2009,17042.427577901966,15440.972183417074,14794.811600207893,16298.592580127726,17816.890202927294
2010,17080.212708564595,14805.835338267258,16752.9517688448,18065.78832305087,17851.19070671441
2011,16084.467645854811,12120.736699573927,15023.263895269978,16736.31290553889,18955.527965621688
2012,17241.243460871796,13932.957854659368,15720.377231914297,18563.922065954408,17573.491575119195
2013,17060.38370306179,13715.046508569381,15556.74630114271,16239.876870555421,17039.256981396953
2014,17373.76202949169,15924.801376065918,15367.901052039337,18538.212992617868,17891.24877257143
2015,16818.467715767558,16638.691683289777,13620.711043635703,17834.350937926254,18070.194037742825
2016,17178.57073751274,14567.592006656794,15313.003391295564,19419.576074515055,17716.217963773986
2017,16656.543630697117,14941.994235333528,16407.51756941223,16185.733007093238,19453.13564441366
2018,16453.78292950402,13887.567792148873,15394.686716783113,16218.372641156317,17108.6140443338
2019,17612.776797642415,15104.40508178095,15850.300995288282,18579.309911975284,18746.652589183002
2020,17160.027169785953,14599.37978590115,17883.69050470729,18442.17547755938,18543.299484382245
2021,17551.275750238805,14203.800817920668,17420.11034865287,16928.319281399166,18486.157382452333
2022,16658.02107276513,13633.575612953106,17344.194530923174,18353.93572613761,19921.25016961726
2023,18049.744107518978,14190.665216304373,16376.30589984404,18947.675986975664,20505.984961263744
