,NA,EP,WP,SI,SP
1980,,,,,
1981,-0.01464159138859497,-0.004459287117505912,-0.011697963749276856,-0.009238171229202981,-0.03321890776914616
1982,-0.004430190003937804,0.010621392547230596,-0.007304994330626257,-0.012940953931861045,-0.04215517505627214
1983,-0.00785556098148598,0.004210195317906805,-0.008389776322969559,-0.027162935381723905,-0.010020303392581259
1984,-0.003546888570790768,0.0021390653815374586,-0.012868419374293609,-0.03524316803219799,-0.02468530280200893
1985,-0.00853894904792701,-0.00740818694023882,-0.01366732802732037,-0.001186618168303135,-0.03890063546415646
1986,-0.0017692748727838308,-8.345275398428173e-05,-0.019974257540105976,0.002592902020195327,-0.040809739219408545
1987,-0.008058228416399442,0.010634746282497373,-0.006401999046487703,-0.013313045842865313,-0.013835802436187128
1988,-0.004878597568128221,-0.004462606307443968,-0.0069590676603159315,0.006910444308880634,-0.03105594551428715
1989,-0.0003412075062846601,0.0012164258501990172,-0.020973379425272432,-0.012514306889328435,-0.05270883344114102
1990,-0.014628854124851107,0.0054251095527254765,-0.016555613633971747,-0.0132320276879137,-0.031593768978529245
1991,-0.008936336772037107,-0.008501363977956792,0.007980360009469984,-0.020641635916931987,-0.00491832832823101
1992,-0.0030883513440048264,-0.018385844274162552,0.010764878356593722,-0.03349972693246485,-0.01859684638232908
1993,0.006491645642523526,-0.019509519654928642,-0.00909418991961869,-0.02913137119701048,-0.021404907677573522
1994,-0.007092598219708809,-0.028505925208883853,-0.0028739395259507862,-0.012606929391464973,-0.02700063028848384
1995,-0.015944092157958882,-0.014083923805872048,-0.0041396659923888125,-0.014200251415893766,-0.027990670821377486
1996,-0.008554531632885162,-0.0019407447252121866,-0.021056142925196947,-0.026713768843185232,-0.02831281606400372
1997,-0.006637069194658351,-0.015038344721855761,-0.005367306519662144,-0.02034331484758296,-0.013201605212330709
1998,-0.017514578388747305,-0.03293839969184724,-0.005008471067026524,-0.03588820926780711,-0.01768573583817288
1999,-0.013900668422845635,-0.026432191927505524,0.016526281877850022,-0.010703783845721071,-0.02761884239311772
2000,0.004532848378458917,-0.031475610649036416,-0.007743537422246188,-0.05146432873479618,-0.02703889695851654
2001,-0.01646569887026082,-0.029191841099352665,0.0017128395561157952,-0.024919276873358667,-0.047254237898408
2002,0.010633565270652848,-0.050990162745907466,-0.007551531182414034,-0.035158074801829295,-0.020282534129252423
2003,-0.005772375167365947,-0.0250771730546614,-0.02039982534321542,-0.04579858025409467,-0.019480960195958616
2004,-0.0017787731144326899,-0.035899572028993736,-0.019354591606550835,-0.009047701537493576,-0.05560940789343482
2005,-0.023617195201360863,-0.014629865083428098,0.006780056373157244,-0.030999675919907783,-0.038844130193728614
2006,-0.0036533245495566236,-0.051138608213311336,-0.005038409239778695,-0.03434520950073573,-0.02552255909924589
2007,-0.019240774602183076,-0.029967646816207408,0.007954597942433883,-0.030066865228543706,-0.039842589104963584
2008,-0.017236540481189933,-0.036609759969093526,0.013280752664747486,-0.01295590452681915,-0.03813122369148373
2009,-0.003973270556179303,-0.05462673359551221,0.001857474786263508,-0.02562949222178014,-0.04763886459923396
2010,-0.004637362340581408,-0.004160726908883876,0.02564757041571918,-0.035426068147242945,-0.018843246372880797
2011,-0.007903959614592814,-0.032350124345484704,0.024713023019275797,-0.010995708271227792,-0.020536404773182068
2012,-0.005523313426831567,-0.04971192856705001,0.033328625137200266,-0.015825871247000998,-0.05801989976521714
2013,-0.0023588448365030176,-0.04099077972786562,0.026701719021999155,-0.04010880794580108,-0.02600841423671545
2014,-0.005634350807723049,-0.03711727352329325,0.009846176238021661,-0.018389879698372667,-0.024725385511135504
2015,0.0012801731001418385,-0.03973916946697244,0.019305101926136794,-0.023430752731994797,-0.022963193164709284
2016,-0.0076600624785728,-0.02574001812740175,0.013924341375480417,-0.024381196596464937,-0.050523132457787445
2017,-0.006551568239989002,-0.022843278829745142,-0.013714093302056052,-0.0024995080867459348,-0.04295748285736244
2018,-0.008321762266976318,-0.04174948471589447,-0.011882852999420206,-0.006438273690760096,-0.07117333737190387
2019,0.0008152066133922108,-0.029281785647573572,-0.008282682628134613,-0.00873512414598664,-0.03775607160062594
2020,-0.02002943276070501,-0.006252827373362526,-0.017957666006362536,-0.008590327598588065,-0.0568090534629607
2021,0.00884624818603733,-0.027570857391278816,-0.007693382446589292,-0.016377341920475207,-0.03929004208526837
2022,-0.009808404177409101,-0.01960645149585521,0.007160044926837865,-0.015901693130072413,-0.05289918036704313
2023,-0.014542185895649738,-0.030885880894847433,0.023468433622763046,-0.006274029858458829,-0.02311676247563795
