,NA,EP,WP,SI,SP
1980,,,,,
1981,2951426.3556794743,1542323.0200655935,2237200.063588335,2177737.459853044,4176640.820043544
1982,2352696.6613414288,1306454.0406515463,2061009.289526209,2317153.724010491,4426556.812237283
1983,2387363.9795683366,1786163.1398093675,1612147.5579285084,3270648.4175704326,2845534.2760863057
1984,2541408.216744537,1528373.524084216,1720182.349377614,3372374.3593630106,3944889.8611326288
1985,2298733.967426299,1632968.4408064422,2148665.191169443,1850492.838202765,4062659.907049777
1986,2327881.717886713,1288406.6628579802,2798912.8158283974,1959690.5946726922,4601168.733436466
1987,2875427.4274521344,1021528.332527922,1960295.764732971,2617707.3637652043,3485165.109292811
1988,2255336.7492577964,1485690.5558029588,2078938.0746467724,1874340.4510930453,4172884.366289557
1989,2197657.2074094797,1238570.8950756574,2371412.5144614326,2215697.9769073427,4381669.041623204
1990,2856737.159735753,1573495.0763266778,2487401.306247495,2535510.935220637,4016300.1723817014
1991,2507911.647505207,1619624.8872678776,1500987.0227696483,2750188.1448264034,3379169.041106873
1992,1956712.145213255,2009891.6495033358,1244186.225098642,3305262.097390085,4045477.4085093844
1993,1757634.8868183128,2034079.7809597792,2508789.852445562,2925666.9251246946,3799779.6467982135
1994,2422254.7485194663,2524824.0286992616,1642628.588978976,2224999.2402109625,4452554.092118797
1995,2908480.9153239066,2372608.3674696498,1003086.2922875365,2497753.463639555,4216915.332564945
1996,2405713.4140824606,1617369.528084933,2341465.267623837,2812736.074825201,3120597.4337021513
1997,1823785.3333767254,2106718.5761325713,1712635.0542753905,2733513.445295952,3944633.719050707
1998,3006917.8540570764,3634754.96170686,1802711.0165619103,3624785.596597202,3303613.329556959
1999,2872526.9465705375,2528541.362229747,1135532.713303327,2325749.943883736,4060188.7364083645
2000,1934200.2129124461,2584518.156470206,1755923.9584048027,4070392.6007620636,3554805.5480326274
2001,2780511.7965560737,2725000.951553964,1569593.7207088133,2696592.3436079468,4618692.407168886
2002,1729363.9138954587,3840437.1829675524,1696246.7668875533,3464986.8735708855,3755850.3380018678
2003,2334463.404732019,2644556.219501092,2226370.8184014615,3744632.873971546,3482445.722798798
2004,1781522.695321129,3005835.1380309653,2192012.492113244,2483784.5980726057,5135077.075069932
2005,3402253.5726599866,2179696.6815162906,904540.3882853657,2451929.904419164,4345767.72825329
2006,2007586.3467587994,3707689.497172483,2046453.0048280437,2930542.795092784,3154867.2529870574
2007,3221833.276691563,3706965.5836028787,1239849.757945211,3061780.197365836,4422701.846585874
2008,2945754.424143377,3534568.9679537253,1386966.5170969146,2287645.2505308297,4546048.7822053
2009,2594511.4608425666,4733127.221639299,1514748.2870354343,2858579.1540411613,4441713.613813727
2010,2258722.0869846735,1680041.8385417727,831461.868883109,3114297.212565437,3792669.851270932
2011,2622418.8390216143,2874941.845093912,1218904.341045647,2167109.285088319,3593253.979860376
2012,2114829.511448635,4080892.517267968,578061.9410861951,2425104.904095533,4834864.426270932
2013,2172742.2267322126,3771184.041161461,639238.4657703947,3206995.3286422906,3852934.4806156303
2014,2501004.5687608626,3204398.4743909785,1232390.029049841,2137192.2294546817,3739544.014790538
2015,2173569.1980510172,3303205.6654499453,1211710.1270257682,2673597.0985858194,3471010.8133718446
2016,2650444.618264953,2635985.832092499,1450714.5221050072,2559089.820604462,5082023.274214695
2017,2251073.3714740817,2605251.315661899,2604297.7230280554,1815724.2927214282,4278971.048553513
2018,2923751.6705642277,3225007.2812248264,2416747.866971169,2214344.7642594767,6714490.315040584
2019,2275394.815639383,2801951.2484129346,2576126.8161462233,2144942.265353622,4924100.648623254
2020,3358997.3868817845,2095085.4153429999,2289110.9242919735,2227161.0588289755,5454673.381572016
2021,1823011.2852951575,2725564.029236838,2083563.7320870892,2489943.95388658,4173913.8115960653
2022,2706012.9372186773,2026889.7138400674,1509943.1018478177,2620560.3932541828,4777318.447586289
2023,2971651.1989379884,4314017.011444672,1309730.8388274964,2078111.6176215778,3266498.8455902464
