,NA,EP,WP,SI,SP
1980,,,,,
1981,1.8342782028353927e-06,7.044683123349238e-06,2.8552318928693364e-06,1.4079648184717854e-07,-7.366104588031382e-06
1982,2.180590204072734e-06,3.989050917555607e-06,2.419892166412216e-06,-1.3517438587466413e-06,-4.259674452248345e-06
1983,4.220078538328496e-06,2.368122316325184e-06,9.811322643979904e-06,-2.9999743955281547e-06,-2.7265773089126133e-06
1984,1.9897266754282477e-06,4.220094571668348e-06,6.83711084748782e-06,-1.5508663925116097e-06,-7.562445856900898e-06
1985,4.27895634470775e-06,6.670640500647191e-06,4.323005795086512e-06,1.382329094282707e-07,-4.600807501373097e-06
1986,2.353008641033444e-06,7.854870150666056e-06,4.335656252026739e-06,-2.7043397207889385e-06,-6.239566213220763e-06
1987,1.020742552688063e-06,7.994328270600666e-06,2.2842273589656337e-06,-4.786707470065779e-06,-5.888562804872458e-06
1988,4.507803351206113e-06,6.150071375780391e-06,3.952812555491067e-06,-3.4540986621091954e-06,-5.435305699356176e-06
1989,3.3873811118697493e-06,7.620096007488952e-06,5.914515637653363e-06,1.2180926581255753e-06,-1.8865610291663853e-06
1990,4.162454520978808e-06,3.364068153088077e-06,4.399816337879469e-06,-3.817915085919217e-06,-4.402387538464538e-06
1991,2.5386773028689753e-06,5.721588331305513e-06,5.200254043629349e-06,-1.8904074240758888e-06,-1.1377005021787476e-05
1992,5.547043327564409e-06,3.479709059188301e-06,7.471676334367668e-06,-3.4106090516578705e-06,-7.931679641294409e-06
1993,4.378341268180799e-06,5.761612070265442e-06,1.2766217566549764e-06,-1.0899801059876915e-06,-5.598136951358559e-06
1994,3.6597123113157516e-06,4.278798121976295e-06,7.987717750969932e-06,7.170820231693066e-07,-7.420754624048902e-06
1995,3.400948279511374e-06,3.0048427387809104e-06,1.553310630619417e-05,-2.9664655409103345e-06,-7.825822140217013e-06
1996,3.5372883962057784e-06,6.295109580877626e-06,4.3981853622539825e-06,-4.706203044587413e-10,-8.795134095684996e-07
1997,8.219745686681657e-06,4.244256753257721e-06,5.642560734421837e-06,-3.3432969436619413e-06,-9.725182389744701e-06
1998,5.028563625504059e-06,1.5705559240406837e-06,3.6108919635564805e-06,-3.689755545625116e-06,-2.5306752119205526e-06
1999,2.254682850350233e-06,3.86149050190298e-06,7.573136791210688e-06,-5.647988295000908e-07,-6.722095626905722e-06
2000,4.105020432802753e-06,4.859589133427124e-06,7.1303003998021025e-06,-2.714961483562032e-07,-3.6944244914217595e-06
2001,4.122366483759307e-06,2.6653908764409796e-06,7.512903782516017e-06,-1.215965112159065e-07,-3.6630196313709823e-06
2002,4.269429088015115e-06,3.6450556610588654e-06,7.034248916899239e-06,-2.0682422085281587e-06,-6.093119131536437e-06
2003,3.283510392842856e-06,4.012849189512609e-06,4.096926704413674e-06,-2.046819146664426e-06,-6.0817409941159164e-06
2004,7.0492557805775355e-06,3.112410468495853e-06,5.790468386221724e-06,-4.828035620392878e-06,-1.3969844012318473e-06
2005,3.5174681868738074e-06,2.759461367000282e-06,1.5442179616498448e-05,3.1784478447999594e-06,-4.0211148228093435e-06
2006,5.760661435514545e-06,2.8600871551010722e-06,2.324894330974723e-06,1.6700145143698512e-06,-2.2794849504011974e-06
2007,2.3049424183679927e-06,-1.1597496034788372e-06,8.30716380742353e-06,6.92994555383915e-07,-4.901853655116102e-06
2008,2.804470213276788e-06,2.6453267585654845e-06,3.757517065622472e-06,1.1521572176532083e-07,-6.743449292839703e-06
2009,2.204394330580056e-06,-9.812165585652521e-07,8.635495278768354e-06,-1.2219042804752403e-06,-3.479606917418521e-06
2010,4.256133391082176e-06,5.142856581346136e-06,9.904751116153892e-06,-7.843008609439022e-07,-9.534943578413133e-06
2011,2.1637814206154527e-06,2.3009940089351108e-06,3.6428763763122788e-06,1.480973412215917e-06,-6.1639933657430064e-06
2012,5.721518012889082e-06,1.5525230022939287e-06,1.4320255631515246e-05,-7.801878839403455e-07,-3.0873586400163555e-06
2013,2.781362079144159e-06,2.4022184037845367e-06,1.4768787943417356e-05,5.72122805148994e-07,-8.222907364646845e-06
2014,1.7170992235534512e-06,1.8871403210916862e-06,8.110215060854325e-06,3.218188128718397e-06,-7.0162761575301036e-06
2015,2.15687691855962e-06,2.028733516950637e-06,6.394266478607262e-06,-9.50258201115293e-07,-4.281000518149205e-06
2016,2.675282710479043e-06,2.3922988051673807e-06,4.449676643673464e-06,-8.551143594961966e-08,-1.5702757548962273e-06
2017,4.2455476937724385e-06,2.2556806732754275e-06,9.791998201833984e-07,1.9435019015260868e-06,-3.99487004230103e-06
2018,3.3929282846854057e-07,3.814740092734003e-06,1.721084725078833e-06,-9.221672564691206e-07,-5.825907290261659e-06
2019,2.5068063074434022e-06,2.0020645745188656e-06,2.1268911482215635e-07,4.226243615841803e-07,-6.723617257846752e-06
2020,8.767933065633373e-07,2.5568090874986596e-06,3.4863287775527174e-06,-9.397405716641539e-07,-6.182675884411375e-06
2021,3.8375581840661095e-06,3.7257687992508793e-06,3.736328533267073e-06,2.5746067400035744e-07,-4.8848154232971e-06
2022,2.0530195244996755e-06,7.006868843369589e-06,3.39665542991035e-06,-8.723152292665972e-07,-6.303833723390574e-06
2023,2.8376641317284305e-06,-1.5151498748819527e-07,2.4911780725540917e-06,-1.2828856623994498e-06,-5.454832558738714e-06
