,NA,EP,WP,SI,SP
1980,,,,,
1981,4.280065179876755e-05,3.728785998683135e-05,2.458051038843313e-05,3.452824888542618e-05,3.2329972352581144e-05
1982,4.240572617357102e-05,3.3441896875515526e-05,3.0124856738235197e-05,3.298325372569595e-05,3.753697516326688e-05
1983,4.237552258818337e-05,3.283141101750473e-05,2.5647481540802838e-05,3.129417211059525e-05,3.7505384409822564e-05
1984,4.2436757254755895e-05,3.5601945502231e-05,2.497305982710407e-05,3.270721702896515e-05,3.6162387537877206e-05
1985,4.3398068649218986e-05,3.162454746304612e-05,2.7902253854554048e-05,3.501147659955965e-05,3.796106441283977e-05
1986,4.1415069220098893e-05,3.124431690757397e-05,3.108163486202225e-05,3.0237638336059523e-05,3.6341514103736934e-05
1987,4.1878151816444407e-05,3.19653593041596e-05,2.754286832901974e-05,2.8774049871881997e-05,4.087164106650178e-05
1988,4.503815495644038e-05,3.707935530829828e-05,2.3495236786095463e-05,3.480616364785208e-05,4.235822641161892e-05
1989,4.3244848415627e-05,3.521687481922259e-05,2.777551634542342e-05,3.0323320782743214e-05,3.658995442688573e-05
1990,4.129689452433731e-05,3.6044451975994455e-05,2.9264857449879233e-05,2.8158061666534113e-05,3.812333452738872e-05
1991,4.183405805006891e-05,3.399964607189583e-05,2.981464818504231e-05,3.115162815894324e-05,3.871362177113794e-05
1992,4.215563718287262e-05,3.451155146490833e-05,2.5442322647389805e-05,3.077354618561489e-05,3.879515436907977e-05
1993,4.2474873519665835e-05,3.533820721548704e-05,2.8206485592144342e-05,3.1202977710894874e-05,4.219424790334287e-05
1994,4.3272934195724164e-05,3.411149145307066e-05,2.9120378248350988e-05,3.1830412964466285e-05,3.6757663760875955e-05
1995,4.624451257408145e-05,3.67040027912021e-05,2.9285591101373793e-05,3.0465802598275957e-05,4.1985924666440535e-05
1996,4.4183529016416536e-05,3.819348453924339e-05,2.703863227718936e-05,3.226794177039484e-05,3.7301627054816235e-05
1997,4.156110905726903e-05,3.511260011630086e-05,2.9716402502545367e-05,3.225648859545023e-05,4.0690263037912617e-05
1998,4.3273261705806186e-05,3.701327311241959e-05,2.391092753900598e-05,2.479016222833368e-05,4.073777264212118e-05
1999,4.3470234535038325e-05,3.732210002027324e-05,2.5977501922202465e-05,3.426188278854136e-05,3.605136616463828e-05
2000,4.3286284882301694e-05,3.591033676677368e-05,2.4728044720968398e-05,3.26524321727996e-05,3.41238011583428e-05
2001,4.292680839018413e-05,3.258205701667796e-05,2.710489771818311e-05,3.4233205936869495e-05,3.809616306986475e-05
2002,4.0625556759910986e-05,3.2474057900948916e-05,2.953833077107437e-05,3.159229430820941e-05,3.944732331833417e-05
2003,4.323124261762199e-05,3.795323811240348e-05,2.9465707418516764e-05,2.857992016300459e-05,4.004345231496139e-05
2004,4.1115471185521856e-05,3.6112639358440576e-05,2.821271045562245e-05,3.116531039187381e-05,4.049067713158965e-05
2005,4.286964328636999e-05,3.76594270929289e-05,2.7342319613248875e-05,2.9670738648164103e-05,3.651883090873494e-05
2006,4.2234267216989275e-05,3.482904035272685e-05,2.8136848925205465e-05,3.4573907038313947e-05,3.581213159281951e-05
2007,4.3939736801704176e-05,3.392419841730427e-05,2.7149500223181653e-05,2.887250894451551e-05,3.590229172771351e-05
2008,4.354418739306688e-05,3.5177337921839476e-05,2.6273401710044956e-05,3.500338461465956e-05,3.51672342956584e-05
2009,4.42317099622979e-05,3.5440212880315466e-05,2.3548012834382983e-05,3.284311239500842e-05,3.36678692120143e-05
2010,4.4125668055578645e-05,3.783585655108473e-05,2.207529987278553e-05,3.1104061273330796e-05,3.8141941534769955e-05
2011,4.460364381012908e-05,3.8550237848169784e-05,2.8537466730404574e-05,3.368069920723074e-05,3.366792641347494e-05
2012,4.441616165499636e-05,3.679717868663273e-05,2.759933623884112e-05,3.3323028526411674e-05,3.404275489810453e-05
2013,4.439271470161345e-05,3.865412715740536e-05,2.378493880848921e-05,3.397355532334471e-05,3.944198312064084e-05
2014,4.272914180371396e-05,3.706930041663516e-05,2.550576074400327e-05,3.398030381750372e-05,3.94287953566252e-05
2015,4.275221977550393e-05,3.007066968679514e-05,3.196215045208314e-05,3.321454887478122e-05,3.9695522788975086e-05
2016,4.38254601450722e-05,3.61229158587955e-05,2.4817897830596703e-05,3.105194308328493e-05,4.140745323157372e-05
2017,4.451118980096174e-05,3.8126001559993285e-05,2.4215192313434255e-05,3.408059645938561e-05,3.666166102542466e-05
2018,4.2101628280212756e-05,3.7588697159160404e-05,2.9979567249028286e-05,3.3886395484240694e-05,3.728496226274652e-05
2019,4.2907945085472834e-05,3.38745876367171e-05,2.7669852374622618e-05,3.262911063433827e-05,4.024001431418215e-05
2020,4.476146980975664e-05,3.763217589787124e-05,2.656990531109773e-05,2.836050588462765e-05,3.921118706842437e-05
2021,4.4656175262322397e-05,3.8885522691573635e-05,2.950033040758086e-05,3.799308666745165e-05,3.407817912153571e-05
2022,4.420162333659966e-05,3.9066287352697126e-05,2.596462627533004e-05,3.4066702301890216e-05,3.714026440324857e-05
2023,4.48824602900197e-05,3.813387892177999e-05,3.075892341877139e-05,3.573446224777692e-05,3.3166218606683225e-05
