,dNdt,T_bar,A_term,A_bar,T_term,Sum_term,p_dNdt,p_dAdt,p_dTdt
NH,0.07822410147991543,13.181818181818182,0.06790014504874398,0.1841179428156982,0.013078991286696534,0.08097913633544052,0.0001917696241318101,0.0003338767675591381,0.05300037769997967
SH,0.013248766737138824,10.931818181818182,0.023620330161808638,0.11737432390841483,-0.0018942015627221272,0.02172612859908651,0.2804546425197598,0.05216639768945219,0.5258881216562483
NA,0.013389711064129672,13.272727272727273,0.0026242320669430112,0.0680993839490104,0.01740157619444057,0.02002580826138358,0.16809086652518834,0.763061865733272,2.213391386840513e-06
EP,0.02536997885835095,9.477272727272727,0.02302452504571475,0.1265127549218458,-0.001078790933442095,0.021945734112272654,0.11507171793784265,0.15437327994527927,0.7593697276640221
WP,0.048202959830866816,7.0227272727272725,0.04810879587450797,0.24997048406139316,0.0007574863153375543,0.048866282189845525,0.002398516975501863,0.010680037718004964,0.6977630641410877
SI,0.03255813953488373,9.272727272727273,0.038851083996192574,0.1555906214997124,0.0013596361568685236,0.0402107201530611,0.01166803425505658,0.0025581226579416416,0.9023493483292044
SP,0.0031007751937984487,5.5,0.017428124201380013,0.16509948384948384,-0.008260791651383617,0.009167332549996396,0.5497358645375385,0.14077819392781676,0.13636629648233978
