,dNdt,T_bar,A_term,A_bar,T_term,Sum_term,p_dNdt,p_dAdt,p_dTdt
NH,-0.023678646934460888,9.977272727272727,0.007636401556057639,0.259713348149177,-0.03270667745895556,-0.02507027590289792,0.21244530839075715,0.6480543587095207,0.006687867166750516
SH,0.029880197322057787,10.022727272727273,0.02311080412240942,0.14812554498383373,-0.005021027987119381,0.01808977613529004,0.072620423937662,0.09121626400020877,0.3230451957070746
NA,0.032558139534883714,6.545454545454546,0.024152449510896557,0.12248540600813328,0.013137617191288151,0.03729006670218471,0.0011731247772666098,0.014248907136837019,3.8365928282324546e-05
EP,0.03699788583509513,6.4772727272727275,0.01827921615243833,0.15118057447602903,0.012688940394711107,0.030968156547149437,0.13059992540383036,0.23774856427737134,0.011376388585391695
WP,-0.01564482029598309,6.363636363636363,0.016426339763837363,0.30440525383707195,-0.02848838457333555,-0.012062044809498188,0.5258700207393394,0.12462302137620629,0.0011258677180026044
SI,0.008738548273431996,8.204545454545455,0.009798298614846768,0.17477333272787818,-0.0014656819305579635,0.008332616684288804,0.5592351764016898,0.5653582569652915,0.7420850702627502
SP,0.01430584918957012,5.090909090909091,0.014482243150319263,0.11296897546897545,-0.004299030778946213,0.010183212371373051,0.09161389172787926,0.05456501742721076,0.015693413683740776
