,nh05,nh95,sh05,sh95,na05,na95,ep05,ep95,wp05,wp95,ni05,ni95,si05,si95,sp05,sp95
2013,99.275,274.1749999999997,104.525,253.825,109.65,251.575,98.9,249.84999999999997,92.6875,318.375,105.775,314.525,99.1,244.22499999999997,136.75,257.5
2014,94.45,284.48749999999995,99.8,257.3375,122.125,260.875,105.875,260.6875,47.175,305.65,104.9,304.9,95.35,244.22499999999997,140.2,300.54999999999995
2015,100.625,285.625,98.725,254.21249999999998,123.0,275.5,110.375,268.09999999999997,47.15,305.7999999999999,106.25,292.84999999999997,98.5,247.0,121.2,291.59999999999985
2016,105.5,283.25,104.025,268.6,123.875,269.90000000000003,109.1375,268.5499999999999,81.0125,302.9624999999999,80.60000000000001,297.2,102.9375,256.125,116.9,303.99999999999994
2017,114.1,279.54999999999995,106.4,258.99999999999994,124.25,256.0,116.0,253.0,113.8625,311.3375,86.0,300.6875,112.55,256.45,110.45,262.825
2018,112.725,279.4875,97.0125,263.87499999999994,125.7625,255.9375,115.825,248.5,86.7875,310.76250000000005,73.85,296.29999999999995,95.25,255.75,121.175,268.6
2019,111.8125,273.7125,98.9875,256.2,120.4,258.0,120.5,261.65,87.4125,279.9375,91.65,294.0,99.3625,256.8,105.5,236.5
2020,105.25,272.6875,95.825,251.84999999999997,126.25,257.0625,113.65,264.5,78.35000000000001,281.45,87.825,291.375,93.95,253.54999999999998,108.65,236.3125
2021,102.75,264.5,112.15,252.07499999999996,117.0625,260.0625,105.25,263.525,58.625,271.0,68.5,296.2,110.0,257.79999999999995,118.45,236.3125
2022,99.75,259.75,95.9,257.13749999999993,121.8625,256.8625,113.05000000000001,260.275,57.125,269.0,78.0625,295.3,83.875,261.11249999999995,119.6875,236.75
2023,109.22500000000001,266.3625,84.675,274.7125,125.4375,263.97499999999997,130.4375,255.8125,65.5125,270.175,71.6875,295.9,83.2,276.95,95.60000000000001,237.99999999999997
